,question,right_answer,right_chunk,rag_answer,rag_chunks,rag_metas,type,normalized_right_chunk,multiple_chunks,top1,topk,retriv_semantic_sim,exact_match,f1,gen_sim
10,How much does BoJack weigh?,"Over 1,200 pounds.","BOJACK: Todd, I weigh over 1,200 pounds. It takes a lot of beer to get me drunk.","The context doesn't provide any information about BoJack's weight. It only contains a conversation where BoJack reacts to being called ""fat.""","[""BOJACK: You think I'm fat."", 'BOJACK: What?', 'BOJACK: What?', 'BOJACK: What guy?', 'BOJACK: Ugh, you know who that is?']","[{'tokens': 10, 'source_para': 209, 'chunk': 0, 'role': 'BOJACK'}, {'role': 'BOJACK', 'source_para': 184, 'chunk': 0, 'tokens': 6}, {'tokens': 6, 'role': 'BOJACK', 'chunk': 0, 'source_para': 223}, {'chunk': 0, 'role': 'BOJACK', 'tokens': 7, 'source_para': 402}, {'tokens': 13, 'source_para': 414, 'role': 'BOJACK', 'chunk': 0}]",Character Identity & Core Facts,"['BOJACK: Todd, I weigh over 1,200 pounds. It takes a lot of beer to get me drunk.']",False,0,0,0.374236524105072,0,0.0,0.37759414315223694
11,What year does BoJack want written on his grave as his birth year?,1975.,"BOJACK: [Dying] Todd, on my grave, I want it to say that I was born in 1975.",1975,"['BOJACK: [Dying] Todd, on my grave, I want it to say that I was born in 1975.', 'BOJACK: What?', 'BOJACK: What?', 'BOJACK: Do I know his story? If I recall correctly, he was bringing up three boys of his own.', 'BOJACK: What guy?']","[{'chunk': 0, 'role': 'BOJACK', 'source_para': 332, 'tokens': 28}, {'source_para': 184, 'chunk': 0, 'tokens': 6, 'role': 'BOJACK'}, {'role': 'BOJACK', 'source_para': 223, 'chunk': 0, 'tokens': 6}, {'source_para': 421, 'chunk': 0, 'tokens': 25, 'role': 'BOJACK'}, {'role': 'BOJACK', 'tokens': 7, 'chunk': 0, 'source_para': 402}]",Character Identity & Core Facts,"['BOJACK: [Dying] Todd, on my grave, I want it to say that I was born in 1975.']",False,1,1,1.0,0,0.0,0.950523853302002
12,What is the relationship between BoJack and Princess Carolyn at the beginning?,"They are dating, but she is also his agent.","CAROLYN: I think we should see other people. ... CAROLYN: Yeah, but I'm still your agent.","At the beginning, BoJack and Princess Carolyn are in a romantic relationship, as indicated by BoJack asking ""Who told you Princess Carolyn and I broke up?""","['BOJACK: Who told you Princess Carolyn and I broke up?', 'CAROLYN: BoJack.', 'PRINCESS CAROLYN: The book is about you, BoJack. You need to provide the soundbites.', ""PRINCESS CAROLYN: BoJack, I secured you an interview. A major online celebrity gossip site. They want to talk about your comeback. BOJACK: A gossip site? I'm not talking to them! That's beneath me. Ibsen wouldn't talk to a gossip site! PRINCESS CAROLYN: You are not Ibsen, you are a washed-up sitcom horse who needs to sell books so I can pay my assistant. BOJACK: What about Diane? She's writing the book. Can't she do it? PRINCESS CAROLYN: The book is about you, BoJack. You need to provide the soundbites. BOJACK: Fine. But I'm going to tell them that pre-meal bread should be free, and that's the real headline. PRINCESS CAROLYN: Just tell them you're dating someone famous. Anyone. BOJACK: I'm dating that raccoon editor. Pinky. He smells bad, but he's passionate about slap bracelets. PRINCESS CAROLYN: [sighs] Just be there on Tuesday."", 'CAROLYN: BoJack, we need to talk.']","[{'role': 'BOJACK', 'tokens': 14, 'chunk': 0, 'source_para': 221}, {'role': 'CAROLYN', 'source_para': 235, 'tokens': 7, 'chunk': 0}, {'chunk': 0, 'source_para': 510, 'role': 'PRINCESS CAROLYN', 'tokens': 25}, {'source_para': 6, 'role': 'PRINCESS CAROLYN', 'tokens': 232, 'chunk': 0}, {'chunk': 0, 'role': 'CAROLYN', 'source_para': 112, 'tokens': 12}]",Relationship Dynamics,['CAROLYN: I think we should see other people.'],False,0,0,0.23900873959064484,0,0.05714285714285715,0.3355850875377655
13,Why did Princess Carolyn break up with BoJack?,He doesn't respect her enough to have a baby and has commitment issues.,"CAROLYN: I mean, you don't even respect me enough to have a baby with me. ... You're afraid of commitment.","The context does not explicitly state why Princess Carolyn broke up with BoJack. The conversation suggests that they have broken up, but the reason is not discussed.","['BOJACK: Who told you Princess Carolyn and I broke up?', 'CAROLYN: BoJack.', ""PRINCESS CAROLYN: BoJack, I secured you an interview. A major online celebrity gossip site. They want to talk about your comeback. BOJACK: A gossip site? I'm not talking to them! That's beneath me. Ibsen wouldn't talk to a gossip site! PRINCESS CAROLYN: You are not Ibsen, you are a washed-up sitcom horse who needs to sell books so I can pay my assistant. BOJACK: What about Diane? She's writing the book. Can't she do it? PRINCESS CAROLYN: The book is about you, BoJack. You need to provide the soundbites. BOJACK: Fine. But I'm going to tell them that pre-meal bread should be free, and that's the real headline. PRINCESS CAROLYN: Just tell them you're dating someone famous. Anyone. BOJACK: I'm dating that raccoon editor. Pinky. He smells bad, but he's passionate about slap bracelets. PRINCESS CAROLYN: [sighs] Just be there on Tuesday."", 'CAROLYN: BoJack, we need to talk.', 'CAROLYN: BoJack!']","[{'role': 'BOJACK', 'tokens': 14, 'source_para': 221, 'chunk': 0}, {'source_para': 235, 'chunk': 0, 'tokens': 7, 'role': 'CAROLYN'}, {'tokens': 232, 'chunk': 0, 'source_para': 6, 'role': 'PRINCESS CAROLYN'}, {'tokens': 12, 'chunk': 0, 'source_para': 112, 'role': 'CAROLYN'}, {'tokens': 7, 'chunk': 0, 'role': 'CAROLYN', 'source_para': 134}]",Relationship Dynamics,"[""I mean, you don't even respect me enough to have a baby with me.""]",False,0,0,0.19965282082557678,0,0.05,0.23042240738868713
14,How does BoJack describe his relationship with Mr. Peanutbutter?,He finds him annoying and wants him to leave; it's a rivalry.,"MR. PEANUTBUTTER: Mr. Peanutbutter and BoJack Horseman in the same room. ... BOJACK: Yes, please leave.","BoJack doesn't explicitly describe his relationship with Mr. Peanutbutter in the context. However, it is implied that BoJack is trying to avoid being seen by Mr. Peanutbutter, suggesting that BoJack might be trying to hide or keep a low profile, possibly due to feelings of guilt or embarrassment related to Mr. Peanutbutter.","['BOJACK: Hey, Mr. Peanutbutter.', 'MR. PEANUTBUTTER: BoJack!', 'MR. PEANUTBUTTER: BoJack! Oh, good Lord.', 'MR. PEANUTBUTTER: Is that BoJack Horseman?', ""BOJACK: Peanutbutter? God, I hope he doesn't see us.""]","[{'role': 'BOJACK', 'chunk': 0, 'source_para': 391, 'tokens': 12}, {'chunk': 0, 'tokens': 12, 'source_para': 443, 'role': 'UNKNOWN'}, {'role': 'UNKNOWN', 'tokens': 17, 'chunk': 0, 'source_para': 390}, {'role': 'UNKNOWN', 'source_para': 162, 'tokens': 16, 'chunk': 0}, {'source_para': 161, 'tokens': 18, 'role': 'BOJACK', 'chunk': 0}]",Relationship Dynamics,"['MR. PEANUTBUTTER: Mr. Peanutbutter and BoJack Horseman in the same room. What is this, a crossover episode?']",False,0,0,0.7327582836151123,0,0.0625,0.2789722979068756
15,Who is Diane dating?,Mr. Peanutbutter.,"MR. PEANUTBUTTER: Oh, I see you've met my beautiful girlfriend, Diane Nguyen.","The context doesn't provide information about Diane dating anyone. It appears to be a series of ""yes"" or ""no"" responses from Diane to someone asking her questions, but the content of the questions is not provided.","[""DIANE: It's Diane."", 'DIANE: Yes.', 'DIANE: Yes.', 'DIANE: Yep.', ""DIANE: No, it's not.""]","[{'chunk': 0, 'role': 'DIANE', 'source_para': 397, 'tokens': 7}, {'role': 'DIANE', 'tokens': 5, 'chunk': 0, 'source_para': 449}, {'tokens': 5, 'source_para': 460, 'chunk': 0, 'role': 'DIANE'}, {'role': 'DIANE', 'tokens': 5, 'chunk': 0, 'source_para': 462}, {'tokens': 9, 'source_para': 428, 'role': 'DIANE', 'chunk': 0}]",Relationship Dynamics,"[""MR. PEANUTBUTTER: Hey, man, wanted to let you know, you are out of beer. Oh, I see you've met my beautiful girlfriend, Diane Nguyen.""]",False,0,0,0.3092682957649231,0,0.0,0.030405525118112564
16,How does BoJack react when he learns Diane is dating Mr. Peanutbutter?,He is shocked and physically disgusted (he vomits).,"BOJACK: This penis has been inside this vagina. ... BOJACK: Humph. [retching] - Ugh. Oh, my God.","Based on the context, it's not explicitly stated that Diane is dating Mr. Peanutbutter. However, BoJack expresses his concern that Mr. Peanutbutter might see him and Diane, implying that BoJack is trying to keep his relationship with Diane private. 

BoJack's reaction is more of a concern for his own relationship with Diane being discovered, rather than a reaction to Diane dating Mr. Peanutbutter.","['Bojack spots Diane but Mr. PeanutButter comes over', 'BOJACK: Hey, Mr. Peanutbutter.', 'MR. PEANUTBUTTER: BoJack! Oh, good Lord.', ""BOJACK: Peanutbutter? God, I hope he doesn't see us."", 'MR. PEANUTBUTTER: BoJack!']","[{'tokens': 12, 'source_para': 389, 'role': 'UNKNOWN', 'chunk': 0}, {'source_para': 391, 'tokens': 12, 'chunk': 0, 'role': 'BOJACK'}, {'role': 'UNKNOWN', 'source_para': 390, 'chunk': 0, 'tokens': 17}, {'role': 'BOJACK', 'tokens': 18, 'chunk': 0, 'source_para': 161}, {'tokens': 12, 'chunk': 0, 'role': 'UNKNOWN', 'source_para': 443}]",Relationship Dynamics,['BOJACK: This penis has been inside this vagina.'],False,0,0,0.17455650866031647,0,0.05633802816901408,0.0441836342215538
17,Does Todd think BoJack is a bad person?,"No, Todd thinks BoJack secretly has a good heart.",TODD: You secretly have a good heart.,"Based on the context, we cannot determine if Todd thinks BoJack is a bad person. Todd's first response only mentions that the guy (presumably BoJack) is ""so stupid"" and ""doesn't realize how miserable he should be,"" but this is an observation or a thought expressed by an unknown character, not Todd.","['BOJACK: Todd, who was that guy? Who are all these people?', ""BOJACK He's so stupid he doesn't realize how miserable he should be. I envy that."", 'BOJACK: Todd! I need help.', 'BOJACK: What?', 'BOJACK: What?']","[{'role': 'BOJACK', 'tokens': 17, 'chunk': 0, 'source_para': 378}, {'chunk': 0, 'tokens': 21, 'role': 'UNKNOWN', 'source_para': 419}, {'role': 'BOJACK', 'chunk': 0, 'tokens': 10, 'source_para': 431}, {'tokens': 6, 'source_para': 184, 'chunk': 0, 'role': 'BOJACK'}, {'chunk': 0, 'role': 'BOJACK', 'source_para': 223, 'tokens': 6}]",Relationship Dynamics,['TODD: You secretly have a good heart.'],False,0,0,0.09282902628183365,0,0.13333333333333333,0.7928768992424011
18,How does Princess Carolyn view her professional vs. personal relationship with BoJack?,She prides herself on separating them.,CAROLYN: I pride myself on my ability to separate my professional life from my personal life.,"Based on the context, it seems that Princess Carolyn views her professional relationship with BoJack as more significant and urgent than her personal relationship with him. She is focused on securing an interview for BoJack and getting him to provide soundbites for the book, which suggests that she sees her professional role as more important at this moment.

She is also willing to be blunt and dismissive of BoJack's personal life, as seen in her comments about him being a ""washed-up sitcom horse"" and her sighs of frustration with him. This suggests that she has a more transactional view of their relationship, seeing him as a client or a business opportunity rather than a personal friend or partner.

However, it's worth noting that she does refer to having an assistant, implying that she may have a more personal life outside of her professional relationship with BoJack.","['BOJACK: Who told you Princess Carolyn and I broke up?', ""PRINCESS CAROLYN: BoJack, I secured you an interview. A major online celebrity gossip site. They want to talk about your comeback. BOJACK: A gossip site? I'm not talking to them! That's beneath me. Ibsen wouldn't talk to a gossip site! PRINCESS CAROLYN: You are not Ibsen, you are a washed-up sitcom horse who needs to sell books so I can pay my assistant. BOJACK: What about Diane? She's writing the book. Can't she do it? PRINCESS CAROLYN: The book is about you, BoJack. You need to provide the soundbites. BOJACK: Fine. But I'm going to tell them that pre-meal bread should be free, and that's the real headline. PRINCESS CAROLYN: Just tell them you're dating someone famous. Anyone. BOJACK: I'm dating that raccoon editor. Pinky. He smells bad, but he's passionate about slap bracelets. PRINCESS CAROLYN: [sighs] Just be there on Tuesday."", 'CAROLYN: BoJack.', 'CAROLYN: BoJack, we need to talk.', 'PRINCESS CAROLYN: The book is about you, BoJack. You need to provide the soundbites.']","[{'source_para': 221, 'tokens': 14, 'chunk': 0, 'role': 'BOJACK'}, {'chunk': 0, 'role': 'PRINCESS CAROLYN', 'tokens': 232, 'source_para': 6}, {'source_para': 235, 'tokens': 7, 'role': 'CAROLYN', 'chunk': 0}, {'tokens': 12, 'role': 'CAROLYN', 'source_para': 112, 'chunk': 0}, {'role': 'PRINCESS CAROLYN', 'chunk': 0, 'source_para': 510, 'tokens': 25}]",Relationship Dynamics,"[""CAROLYN: Yeah, but I'm still your agent. I pride myself on my ability to separate my professional life from my personal life.""]",False,0,0,0.2274918109178543,0,0.02631578947368421,0.24674195051193237
19,What does BoJack typically do when Todd speaks to him?,"He insults him or cuts him off (e.g., with a blender).",Bojack purposely cuts off Todd with the blender. ... BOJACK: I don't even remember why I let you stay with me in the first place.,"Unfortunately, I don't have enough information in the context to accurately answer the question. The context only shows one instance where BoJack cuts off Todd with a blender, but it doesn't provide any information on what BoJack typically does when Todd speaks to him.","['Bojack purposely cuts off Todd with the blender. Todd patiently waits to resume speaking', 'BOJACK: Todd! I need help.', 'BOJACK: Why are you making conversation?', 'TODD: Today is Wednesday, BoJack.', 'BOJACK: Todd, who was that guy? Who are all these people?']","[{'role': 'UNKNOWN', 'tokens': 16, 'source_para': 54, 'chunk': 0}, {'source_para': 431, 'role': 'BOJACK', 'tokens': 10, 'chunk': 0}, {'chunk': 0, 'role': 'BOJACK', 'tokens': 10, 'source_para': 178}, {'tokens': 11, 'role': 'TODD', 'chunk': 0, 'source_para': 530}, {'chunk': 0, 'source_para': 378, 'role': 'BOJACK', 'tokens': 17}]",Relationship Dynamics,"[""I don't even remember why I let you stay with me in the first place.""]",False,0,0,0.2537632882595062,0,0.14545454545454545,0.3973658084869385
20,Why did the Mob Boss want to hurt Todd?,"Todd tried to sell ""E"" on their turf and owed them a party.","MOB BOSS: And that's for trying to sell E on the cartel's turf. ... You owe me a party, cabrÃ³n","The context does not explicitly state that the person hurting Todd is a ""Mob Boss."" However, it does imply that the person (she) has a past or an association with Todd.","['TODD: Ow. Why?', 'TODD: What?', 'TODD: She did.', ""TODD: Because my parents kicked me out, and I had nowhere to go, and even though you don't want anyone to know it-"", 'TODD: Oh, thank God.']","[{'tokens': 8, 'chunk': 0, 'role': 'TODD', 'source_para': 295}, {'role': 'TODD', 'tokens': 6, 'source_para': 271, 'chunk': 0}, {'role': 'TODD', 'source_para': 222, 'chunk': 0, 'tokens': 7}, {'role': 'TODD', 'source_para': 50, 'tokens': 30, 'chunk': 0}, {'tokens': 9, 'chunk': 0, 'source_para': 372, 'role': 'TODD'}]",Relationship Dynamics,"[""MOB BOSS: And that's for trying to sell E on the cartel's turf.""]",False,0,0,0.23887962102890015,0,0.09090909090909091,0.44393837451934814
21,How does BoJack feel about Diane after meeting her?,He thinks she is cute and hires her.,"BOJACK: She's cute. ... BOJACK: Okay. Well, then I guess you're hired","Based on the context, it seems that BoJack is somewhat dismissive and possibly annoyed when talking about Diane, especially when she interrupts him. His response ""Oh, Diane"" suggests a hint of frustration or annoyance rather than affection or enthusiasm.","['BOJACK: Diane ""Nugent""?', ""BOJACK: What about Diane? She's writing the book. Can't she do it?"", 'DIANE: No, BoJack.', 'BOJACK: Oh, Diane.', 'DIANE: Hey, BoJack, right? BoJack Horseman?']","[{'source_para': 276, 'tokens': 10, 'role': 'BOJACK', 'chunk': 0}, {'chunk': 0, 'role': 'BOJACK', 'tokens': 20, 'source_para': 509}, {'chunk': 0, 'tokens': 8, 'role': 'DIANE', 'source_para': 438}, {'chunk': 0, 'tokens': 8, 'source_para': 398, 'role': 'BOJACK'}, {'source_para': 395, 'role': 'DIANE', 'tokens': 15, 'chunk': 0}]",Relationship Dynamics,"[""BOJACK: Okay. Well, then I guess you're hired, but don't put all that stuff about how sad I am in the book.""]",False,0,0,0.2701820433139801,0,0.12765957446808512,0.2868099510669708
